Head,Relation,Tail
Fluocinolone acetonide,INTERACTS_WITH,Abetimus
Tazarotene,INTERACTS_WITH,Oxybutynin
Guanoclor,INTERACTS_WITH,Nortriptyline
Dexamethasone isonicotinate,INTERACTS_WITH,Oxaliplatin
Sparfloxacin,INTERACTS_WITH,Iron sucrose
Ticarcillin,INTERACTS_WITH,Sisomicin
Varicella Zoster Vaccine (Recombinant),IN_PRODUCT,Shingrix
Trifluridine,INTERACTS_WITH,Lenalidomide
Tegafur,INTERACTS_WITH,Foscarnet
Calanolide A,INTERACTS_WITH,Tolazamide
Desmopressin,INTERACTS_WITH,Aliskiren
Thiethylperazine,INTERACTS_WITH,Atenolol
Roxatidine acetate,INTERACTS_WITH,Chlorphentermine
arterial hypertension,TREATED_BY,Trandolapril
Loracarbef,INTERACTS_WITH,Ceftobiprole
Mitoxantrone,INTERACTS_WITH,Bleomycin
Valinomycin,INTERACTS_WITH,Fusidic acid
Brexpiprazole,INTERACTS_WITH,Quinapril
Jantoven,HAS_PRICE,24.4503
Siponimod,INTERACTS_WITH,Peginterferon beta-1a
Astelin,HAS_PRICE,34.594
Doripenem,INTERACTS_WITH,Tetracycline
Urecholine,HAS_PRICE,44.595
Protriptyline,INTERACTS_WITH,Methoserpidine
Polyethylene glycol 400,INTERACTS_WITH,Loracarbef
Bamifylline,INTERACTS_WITH,Methoxamine
Clove,IN_PRODUCT,SOMA Prouri
58.6944,AVAILABLE_AT,CVS Pharmacy
Insulin human,INTERACTS_WITH,Pseudoephedrine
Pseudomonas infection,TREATED_BY,Tobramycin
Salvianolic acid A,INTERACTS_WITH,Tolevamer
Fluvastatin,INTERACTS_WITH,Nilotinib
Cloricromen,INTERACTS_WITH,Hyodeoxycholic Acid
Fosphenytoin,INTERACTS_WITH,Doxazosin
Metamfetamine,INTERACTS_WITH,Dexniguldipine
Ulobetasol,INTERACTS_WITH,Mifepristone
Oxybenzone,INTERACTS_WITH,Cefamandole
Green olive,IN_PRODUCT,Olive
Formocortal,INTERACTS_WITH,Bevacizumab
Pranlukast,INTERACTS_WITH,Apalutamide
Girentuximab,INTERACTS_WITH,Estrone sulfate
Avanafil,INTERACTS_WITH,Venetoclax
Sorbitol,INTERACTS_WITH,Mivacurium
Bevacizumab,INTERACTS_WITH,Carboplatin
Pantothenic acid,INTERACTS_WITH,Pentosan polysulfate
Mitotane,INTERACTS_WITH,Brexpiprazole
Seproxetine,INTERACTS_WITH,Diamorphine
591.923,AVAILABLE_AT,Albertsons (Sav-on)
Liraglutide,INTERACTS_WITH,Hydrochlorothiazide
Icosapent,INTERACTS_WITH,Flupentixol
omega interferon,INTERACTS_WITH,Cladribine
Oxandrolone,INTERACTS_WITH,Phenindione
Artemether,INTERACTS_WITH,Methylene blue
Selegiline,INTERACTS_WITH,Betulinic Acid
Corticotropin,INTERACTS_WITH,Chloramphenicol
Xylocaine,HAS_PRICE,24.18
Mefenamic acid,INTERACTS_WITH,Nialamide
24.686,AVAILABLE_AT,Pavilions Pharmacy
Ebselen,INTERACTS_WITH,Midodrine
84.695,AVAILABLE_AT,Pavilions Pharmacy
Pentostatin,INTERACTS_WITH,Mometasone
Prasterone sulfate,INTERACTS_WITH,Dexamethasone isonicotinate
Albendazole,INTERACTS_WITH,Desvenlafaxine
Calcium citrate,INTERACTS_WITH,Lanatoside C
Gimatecan,INTERACTS_WITH,Fluvastatin
Ifenprodil,INTERACTS_WITH,Minoxidil
Atropine,INTERACTS_WITH,Deserpidine
Frovocimab,INTERACTS_WITH,RI 624
"Dextrose, unspecified form",IN_PRODUCT,10% Dextrose and 0.9% Sodium Chloride Injection USP
Sibrotuzumab,INTERACTS_WITH,Palivizumab
Pinacidil,INTERACTS_WITH,Dopamine
Lonidamine,INTERACTS_WITH,Methylprednisolone
Ethacizine,INTERACTS_WITH,Loperamide
Secretin human,INTERACTS_WITH,Pentobarbital
Burosumab,INTERACTS_WITH,Oregovomab
Oncovin Solution 1mg/ml,MANUFACTURED_BY,Eli Lilly & Co. Ltd.
Epirizole,INTERACTS_WITH,Midodrine
Cidofovir,INTERACTS_WITH,Cyanocobalamin
Clonazepam,INTERACTS_WITH,Sertraline
Daptomycin,MANUFACTURED_BY,Cipla USA Inc.
Detomidine,INTERACTS_WITH,Pinacidil
Mexiletine,INTERACTS_WITH,Disopyramide
Benzydamine,INTERACTS_WITH,Metaraminol
Rovalpituzumab Tesirine,INTERACTS_WITH,Eculizumab
Ibutilide,INTERACTS_WITH,Mibefradil
Gossypol,INTERACTS_WITH,Metampicillin
