Head,Relation,Tail
Oxaprotiline,INTERACTS_WITH,Nitroprusside
Clemastine,INTERACTS_WITH,"2,5-Dimethoxy-4-ethylthioamphetamine"
Mold Mix B,MANUFACTURED_BY,"ALK-Abello, Inc."
Flutamide,INTERACTS_WITH,Cefamandole
Potassium permanganate,INTERACTS_WITH,Amiloride
Trabectedin,INTERACTS_WITH,Sulfasalazine
Tolcapone,INTERACTS_WITH,Risperidone
Doxycycline,INTERACTS_WITH,Calcium lactate
Soolantra,HAS_PRICE,237.895
Sitagliptin,INTERACTS_WITH,Prulifloxacin
Trifluridine,INTERACTS_WITH,Etanercept
Linaclotide,INTERACTS_WITH,Pizotifen
Cloranolol,INTERACTS_WITH,Rizatriptan
430.374,AVAILABLE_AT,Walmart Neighborhood Market
Pamidronic acid,INTERACTS_WITH,Antrafenine
Cimetidine,INTERACTS_WITH,Losartan
Pirarubicin,INTERACTS_WITH,Sorafenib
Nemolizumab,INTERACTS_WITH,Abciximab
Hydroxychloroquine,INTERACTS_WITH,Dacarbazine
Turoctocog alfa pegol,INTERACTS_WITH,Aprotinin
Amoxicillin,INTERACTS_WITH,Cefotaxime
Ro 12-7310,INTERACTS_WITH,Gestodene
Methadone,IN_PRODUCT,Jamp Methadone Oral Concentrate
Ecopipam,INTERACTS_WITH,Alaproclate
Ranibizumab,INTERACTS_WITH,Galiximab
Bufotenine,INTERACTS_WITH,Orphenadrine
DL-Methylephedrine,INTERACTS_WITH,Bosentan
6-Deoxyerythronolide B,INTERACTS_WITH,Zopiclone
Quingestanol acetate,INTERACTS_WITH,Nadroparin
Inecalcitol,INTERACTS_WITH,Dihydrotachysterol
Melengestrol acetate,INTERACTS_WITH,Orciprenaline
Ditazole,INTERACTS_WITH,Ursodeoxycholic acid
Calcium lactate,INTERACTS_WITH,Digitoxin
Peruvoside,INTERACTS_WITH,Brefeldin A
Alizapride,INTERACTS_WITH,Tetrabenazine
Trifluoperazine,INTERACTS_WITH,Nitroprusside
Cafedrine,INTERACTS_WITH,Isoxsuprine
Favipiravir,INTERACTS_WITH,Afatinib
Phentolamine,IN_PRODUCT,Rogitine
151.77,AVAILABLE_AT,"Community, a Walgreens Pharmacy"
Thiamine,INTERACTS_WITH,Probenecid
Magnesium aspartate,INTERACTS_WITH,Clomocycline
Beclamide,INTERACTS_WITH,Sertraline
Orciprenaline,INTERACTS_WITH,Guanoxabenz
Bryostatin 1,INTERACTS_WITH,Xanthine
Arginine,IN_PRODUCT,2.5% Travasol Amino Acid Injection With Electrolytes In 10% Dextrose
Seletracetam,INTERACTS_WITH,Pinaverium
Captopril,INTERACTS_WITH,Pizotifen
Dacetuzumab,INTERACTS_WITH,Ranibizumab
Zinc oxide,INTERACTS_WITH,Metacycline
Cefotetan,INTERACTS_WITH,Tenofovir disoproxil
Artemisia Frigida Pollen,MANUFACTURED_BY,"ALK-Abello, Inc."
Etiracetam,INTERACTS_WITH,Perampanel
Penicillamine,IN_PRODUCT,Cuprimine
Nortriptyline,IN_PRODUCT,Aventyl
Cantaloupe,MANUFACTURED_BY,"Allergy Laboratories, Inc."
Indium In-111 satumomab pendetide,INTERACTS_WITH,Cetuximab
