Head,Relation,Tail
aspirin,HAS_SIDE_EFFECT,Respiratory alkalosis
aspirin,HAS_SIDE_EFFECT,Anaphylactic shock
aspirin,HAS_SIDE_EFFECT,Anaemia
aspirin,HAS_SIDE_EFFECT,Angioedema
aspirin,HAS_SIDE_EFFECT,Asthma
aspirin,HAS_SIDE_EFFECT,Coagulopathy
aspirin,HAS_SIDE_EFFECT,Breast feeding
aspirin,HAS_SIDE_EFFECT,Varicella
aspirin,HAS_SIDE_EFFECT,Coma
aspirin,HAS_SIDE_EFFECT,Confusional state
aspirin,HAS_SIDE_EFFECT,Feeling abnormal
aspirin,HAS_SIDE_EFFECT,Contusion
aspirin,HAS_SIDE_EFFECT,Diabetes mellitus
aspirin,HAS_SIDE_EFFECT,Diarrhoea
aspirin,HAS_SIDE_EFFECT,Polyuria
aspirin,HAS_SIDE_EFFECT,Somnolence
aspirin,HAS_SIDE_EFFECT,Dyspepsia
aspirin,HAS_SIDE_EFFECT,Dyspnoea
aspirin,HAS_SIDE_EFFECT,Rash
aspirin,HAS_SIDE_EFFECT,Dermatitis
aspirin,HAS_SIDE_EFFECT,Flushing
aspirin,HAS_SIDE_EFFECT,Gastrointestinal haemorrhage
aspirin,HAS_SIDE_EFFECT,Gout
aspirin,HAS_SIDE_EFFECT,Haematemesis
aspirin,HAS_SIDE_EFFECT,Haemorrhage
aspirin,HAS_SIDE_EFFECT,Haemoglobin
aspirin,HAS_SIDE_EFFECT,Haemorrhagic disorder
aspirin,HAS_SIDE_EFFECT,Hypersensitivity
aspirin,HAS_SIDE_EFFECT,Hypertension
aspirin,HAS_SIDE_EFFECT,Hypoglycaemia
aspirin,HAS_SIDE_EFFECT,Hypokalaemia
aspirin,HAS_SIDE_EFFECT,Leukopenia
aspirin,HAS_SIDE_EFFECT,Hepatocellular injury
aspirin,HAS_SIDE_EFFECT,Liver disorder
aspirin,HAS_SIDE_EFFECT,Foetor hepaticus
aspirin,HAS_SIDE_EFFECT,Melaena
aspirin,HAS_SIDE_EFFECT,Nausea
aspirin,HAS_SIDE_EFFECT,Peptic ulcer
aspirin,HAS_SIDE_EFFECT,Pruritus
aspirin,HAS_SIDE_EFFECT,Vascular purpura
aspirin,HAS_SIDE_EFFECT,Purpura
aspirin,HAS_SIDE_EFFECT,Reye's syndrome
aspirin,HAS_SIDE_EFFECT,Convulsion
aspirin,HAS_SIDE_EFFECT,Hyperhidrosis
aspirin,HAS_SIDE_EFFECT,Dizziness
aspirin,HAS_SIDE_EFFECT,Loss of consciousness
aspirin,HAS_SIDE_EFFECT,Shock
aspirin,HAS_SIDE_EFFECT,Syncope
aspirin,HAS_SIDE_EFFECT,Tachycardia
aspirin,HAS_SIDE_EFFECT,Thirst
aspirin,HAS_SIDE_EFFECT,Thrombocytopenia
aspirin,HAS_SIDE_EFFECT,Tinnitus
aspirin,HAS_SIDE_EFFECT,Ulcer
aspirin,HAS_SIDE_EFFECT,Urticaria
aspirin,HAS_SIDE_EFFECT,Vertigo
aspirin,HAS_SIDE_EFFECT,Vomiting
aspirin,HAS_SIDE_EFFECT,Renal impairment
aspirin,HAS_SIDE_EFFECT,Metabolic acidosis
aspirin,HAS_SIDE_EFFECT,Agitation
aspirin,HAS_SIDE_EFFECT,Hepatotoxicity
aspirin,HAS_SIDE_EFFECT,Chest pain
aspirin,HAS_SIDE_EFFECT,Chest discomfort
aspirin,HAS_SIDE_EFFECT,Acidosis
aspirin,HAS_SIDE_EFFECT,Epigastric discomfort
aspirin,HAS_SIDE_EFFECT,Arthralgia
aspirin,HAS_SIDE_EFFECT,Influenza
aspirin,HAS_SIDE_EFFECT,Respiratory failure
aspirin,HAS_SIDE_EFFECT,Hearing impaired
aspirin,HAS_SIDE_EFFECT,Deafness
aspirin,HAS_SIDE_EFFECT,Blood cholesterol increased
Romidepsin,HAS_SIDE_EFFECT,Gastrointestinal pain
Romidepsin,HAS_SIDE_EFFECT,Abdominal pain
Romidepsin,HAS_SIDE_EFFECT,Anaemia
Romidepsin,HAS_SIDE_EFFECT,Decreased appetite
Romidepsin,HAS_SIDE_EFFECT,Asthenia
Romidepsin,HAS_SIDE_EFFECT,Neoplasm malignant
Romidepsin,HAS_SIDE_EFFECT,Cellulitis
Romidepsin,HAS_SIDE_EFFECT,Chest pain
Romidepsin,HAS_SIDE_EFFECT,Infection
Romidepsin,HAS_SIDE_EFFECT,Constipation
Romidepsin,HAS_SIDE_EFFECT,Cough
Romidepsin,HAS_SIDE_EFFECT,Dehydration
